,current_day,cloud,temp_max,temp_min
0,2019-1-1,cloudy,9°,6°
1,2019-1-2,cloudy,7°,4°
2,2019-1-3,cloudy,7°,1°
3,2019-1-4,cloudy,4°,2°
4,2019-1-5,cloudy,6°,4°
5,2019-1-6,cloudy,6°,4°
6,2019-1-7,foggy,10°,5°
7,2019-1-8,cloudy,9°,4°
8,2019-1-9,mostly cloudy,7°,2°
9,2019-1-10,scattered showers,5°,1°
10,2019-1-11,cloudy,9°,3°
11,2019-1-12,cloudy,9°,6°
12,2019-1-13,cloudy,11°,8°
13,2019-1-14,cloudy,9°,3°
14,2019-1-15,cloudy,8°,2°
15,2019-1-16,cloudy,7°,5°
16,2019-1-17,mostly cloudy,6°,1°
17,2019-1-18,mostly sunny,5°,-1°
18,2019-1-19,mostly sunny,4°,-4°
19,2019-1-20,mostly sunny,3°,-2°
20,2019-1-21,mostly sunny,4°,-5°
21,2019-1-22,foggy,1°,-2°
22,2019-1-23,foggy,1°,-2°
23,2019-1-24,foggy,2°,-7°
24,2019-1-25,foggy,5°,-1°
25,2019-1-26,cloudy,9°,4°
26,2019-1-27,scattered showers,8°,4°
27,2019-1-28,cloudy,5°,1°
28,2019-1-29,mostly sunny,4°,-2°
29,2019-1-30,snow,3°,-6°
30,2019-1-31,foggy,0°,-6°
31,2019-2-1,foggy,4°,-1°
32,2019-2-2,scattered showers,5°,2°
33,2019-2-3,mostly cloudy,6°,0°
34,2019-2-4,cloudy,3°,0°
35,2019-2-5,cloudy,6°,1°
36,2019-2-6,foggy,9°,3°
37,2019-2-7,mostly cloudy,10°,5°
38,2019-2-8,cloudy,10°,6°
39,2019-2-9,cloudy,10°,7°
40,2019-2-10,cloudy,10°,5°
41,2019-2-11,cloudy,8°,1°
42,2019-2-12,foggy,10°,-1°
43,2019-2-13,mostly sunny,8°,0°
44,2019-2-14,mostly sunny,12°,0°
45,2019-2-15,mostly sunny,15°,2°
46,2019-2-16,mostly sunny,15°,1°
47,2019-2-17,mostly sunny,15°,3°
48,2019-2-18,mostly sunny,15°,3°
49,2019-2-19,mostly sunny,12°,4°
50,2019-2-20,mostly sunny,12°,2°
51,2019-2-21,mostly sunny,15°,4°
52,2019-2-22,foggy,12°,4°
53,2019-2-23,mostly sunny,15°,4°
