,current_day,cloud,temp_max,temp_min
0,2019-1-1,foggy,6°,3°
1,2019-1-2,mostly cloudy,3°,-2°
2,2019-1-3,mostly cloudy,3°,-3°
3,2019-1-4,mostly cloudy,3°,-1°
4,2019-1-5,foggy,5°,0°
5,2019-1-6,mostly cloudy,3°,2°
6,2019-1-7,mostly cloudy,5°,1°
7,2019-1-8,scattered showers,6°,2°
8,2019-1-9,mostly sunny,4°,0°
9,2019-1-10,mostly sunny,1°,-2°
10,2019-1-11,foggy,3°,-2°
11,2019-1-12,scattered showers,5°,3°
12,2019-1-13,scattered showers,8°,5°
13,2019-1-14,scattered showers,5°,1°
14,2019-1-15,mostly cloudy,4°,1°
15,2019-1-16,mostly sunny,5°,2°
16,2019-1-17,scattered showers,4°,-1°
17,2019-1-18,foggy,1°,-3°
18,2019-1-19,mostly sunny,1°,-5°
19,2019-1-20,mostly sunny,-1°,-6°
20,2019-1-21,mostly sunny,0°,-6°
21,2019-1-22,foggy,-3°,-8°
22,2019-1-23,foggy,-2°,-4°
23,2019-1-24,foggy,-3°,-5°
24,2019-1-25,foggy,0°,-4°
25,2019-1-26,foggy,4°,0°
26,2019-1-27,scattered showers,5°,0°
27,2019-1-28,snow,2°,0°
28,2019-1-29,mostly cloudy,0°,-2°
29,2019-1-30,snow,0°,-4°
30,2019-1-31,snow,0°,-3°
31,2019-2-1,foggy,3°,-1°
32,2019-2-2,foggy,3°,0°
33,2019-2-3,mostly cloudy,3°,-2°
34,2019-2-4,mostly sunny,2°,-4°
35,2019-2-5,mostly sunny,5°,-2°
36,2019-2-6,mostly sunny,5°,-3°
37,2019-2-7,scattered showers,8°,1°
38,2019-2-8,mostly cloudy,7°,2°
39,2019-2-9,mostly cloudy,8°,4°
40,2019-2-10,scattered showers,7°,2°
41,2019-2-11,mostly cloudy,5°,1°
42,2019-2-12,mostly sunny,4°,-2°
43,2019-2-13,foggy,5°,-4°
44,2019-2-14,mostly sunny,11°,0°
45,2019-2-15,mostly sunny,14°,2°
46,2019-2-16,mostly sunny,13°,2°
47,2019-2-17,mostly sunny,14°,2°
48,2019-2-18,mostly sunny,12°,3°
49,2019-2-19,partly cloudy,9°,3°
50,2019-2-20,foggy,10°,0°
51,2019-2-21,mostly sunny,13°,4°
52,2019-2-22,mostly cloudy,12°,6°
53,2019-2-23,mostly sunny,12°,2°
54,2019-2-24,mostly sunny,14°,2°
55,2019-2-25,mostly sunny,17°,5°
56,2019-2-26,mostly sunny,18°,6°
57,2019-2-27,mostly sunny,19°,7°
58,2019-2-28,mostly sunny,13°,4°
59,2019-3-1,mostly cloudy,7°,5°
60,2019-3-2,foggy,9°,4°
61,2019-3-3,cloudy,10°,7°
62,2019-3-4,scattered showers,10°,4°
63,2019-3-5,scattered showers,6°,3°
64,2019-3-6,scattered showers,12°,4°
65,2019-3-7,scattered showers,10°,6°
66,2019-3-8,mostly cloudy,8°,4°
67,2019-3-9,mostly cloudy,10°,5°
68,2019-3-10,scattered showers,13°,4°
69,2019-3-11,mostly cloudy,7°,1°
70,2019-3-12,mostly sunny,8°,0°
71,2019-3-13,scattered showers,6°,3°
72,2019-3-14,scattered showers,8°,4°
73,2019-3-15,scattered showers,10°,5°
74,2019-3-16,mostly cloudy,9°,7°
75,2019-3-17,mostly cloudy,8°,2°
76,2019-3-18,mostly cloudy,7°,0°
77,2019-3-19,mostly sunny,10°,-2°
78,2019-3-20,mostly sunny,12°,2°
79,2019-3-21,mostly sunny,16°,4°
80,2019-3-22,mostly sunny,17°,6°
81,2019-3-23,mostly sunny,16°,5°
82,2019-3-24,foggy,12°,3°
83,2019-3-25,mostly cloudy,9°,1°
84,2019-3-26,mostly cloudy,10°,4°
85,2019-3-27,mostly sunny,10°,0°
86,2019-3-28,mostly sunny,14°,4°
87,2019-3-29,mostly sunny,16°,5°
88,2019-3-30,mostly sunny,19°,7°
89,2019-3-31,mostly sunny,19°,7°
90,2019-5-1,mostly sunny,19°,8°
91,2019-5-2,partly cloudy,17°,6°
92,2019-5-3,mostly sunny,13°,5°
93,2019-5-4,mostly sunny,8°,1°
94,2019-5-5,mostly sunny,9°,0°
95,2019-5-6,mostly sunny,10°,0°
96,2019-5-7,mostly sunny,12°,4°
97,2019-5-8,scattered showers,11°,6°
98,2019-5-9,scattered showers,13°,5°
99,2019-5-10,mostly sunny,16°,5°
100,2019-5-11,rain,11°,7°
101,2019-5-12,mostly sunny,14°,3°
102,2019-5-13,mostly sunny,16°,5°
103,2019-5-14,mostly sunny,16°,6°
104,2019-5-15,mostly sunny,15°,6°
105,2019-5-16,mostly sunny,17°,6°
106,2019-5-17,mostly cloudy,17°,8°
107,2019-5-18,mostly sunny,18°,10°
108,2019-5-19,mostly cloudy,19°,11°
109,2019-5-20,mostly cloudy,18°,11°
110,2019-5-21,cloudy,15°,10°
111,2019-5-22,mostly sunny,19°,6°
112,2019-5-23,mostly sunny,21°,9°
113,2019-5-24,mostly sunny,23°,12°
114,2019-5-25,mostly sunny,20°,10°
115,2019-5-26,mostly sunny,21°,8°
116,2019-5-27,mostly cloudy,20°,13°
117,2019-5-28,mostly sunny,16°,9°
118,2019-5-29,mostly sunny,18°,6°
119,2019-5-30,mostly cloudy,18°,10°
120,2019-5-31,mostly sunny,22°,12°
121,2019-6-1,mostly sunny,26°,12°
122,2019-6-2,mostly sunny,29°,16°
123,2019-6-3,mostly sunny,26°,17°
124,2019-6-4,mostly sunny,29°,14°
125,2019-6-5,mostly sunny,27°,16°
126,2019-6-6,mostly cloudy,16°,9°
127,2019-6-7,mostly sunny,22°,8°
128,2019-6-8,mostly cloudy,17°,10°
129,2019-6-9,mostly sunny,20°,10°
130,2019-6-10,mostly cloudy,20°,13°
131,2019-6-11,mostly cloudy,17°,11°
132,2019-6-12,mostly sunny,18°,11°
133,2019-6-13,mostly sunny,20°,9°
134,2019-6-14,mostly sunny,22°,11°
135,2019-6-15,mostly sunny,22°,15°
136,2019-6-16,mostly sunny,21°,12°
137,2019-6-17,mostly sunny,25°,13°
138,2019-6-18,mostly sunny,26°,17°
139,2019-6-19,mostly sunny,27°,18°
140,2019-6-20,partly cloudy,20°,15°
141,2019-6-21,mostly sunny,21°,12°
142,2019-6-22,mostly sunny,22°,13°
143,2019-6-23,mostly sunny,27°,16°
144,2019-6-24,mostly sunny,30°,18°
145,2019-6-25,mostly sunny,33°,21°
146,2019-6-26,mostly sunny,34°,20°
147,2019-6-27,mostly sunny,31°,20°
148,2019-6-28,mostly sunny,30°,16°
149,2019-6-29,mostly sunny,32°,18°
150,2019-6-30,mostly sunny,32°,20°
151,2019-7-1,mostly sunny,25°,18°
152,2019-7-2,mostly sunny,24°,13°
153,2019-7-3,mostly sunny,25°,14°
154,2019-7-4,mostly sunny,26°,12°
155,2019-7-5,mostly sunny,29°,13°
156,2019-7-6,mostly sunny,29°,14°
