,current_day,cloud,temp_max,temp_min
0,2019-1-1,cloudy,10°,8°
1,2019-1-2,cloudy,9°,3°
2,2019-1-3,cloudy,9°,2°
3,2019-1-4,cloudy,6°,-1°
4,2019-1-5,cloudy,6°,4°
5,2019-1-6,cloudy,7°,4°
6,2019-1-7,cloudy,10°,6°
7,2019-1-8,cloudy,10°,4°
8,2019-1-9,cloudy,7°,5°
9,2019-1-10,cloudy,7°,1°
10,2019-1-11,cloudy,9°,4°
11,2019-1-12,cloudy,10°,6°
12,2019-1-13,cloudy,11°,9°
13,2019-1-14,cloudy,10°,6°
14,2019-1-15,cloudy,9°,6°
15,2019-1-16,cloudy,9°,4°
16,2019-1-17,mostly sunny,8°,0°
17,2019-1-18,mostly sunny,6°,-2°
18,2019-1-19,cloudy,6°,1°
19,2019-1-20,cloudy,5°,2°
20,2019-1-21,mostly sunny,6°,0°
21,2019-1-22,scattered showers,8°,2°
22,2019-1-23,cloudy,5°,1°
23,2019-1-24,mostly sunny,6°,-1°
24,2019-1-25,cloudy,11°,3°
25,2019-1-26,cloudy,10°,7°
26,2019-1-27,cloudy,8°,4°
27,2019-1-28,mostly cloudy,7°,2°
28,2019-1-29,cloudy,5°,1°
29,2019-1-30,cloudy,5°,-1°
30,2019-1-31,foggy,4°,-3°
31,2019-2-1,cloudy,8°,2°
32,2019-2-2,mostly cloudy,5°,3°
33,2019-2-3,mostly sunny,7°,0°
34,2019-2-4,cloudy,6°,3°
35,2019-2-5,cloudy,6°,2°
36,2019-2-6,cloudy,12°,6°
37,2019-2-7,mostly cloudy,10°,6°
38,2019-2-8,cloudy,12°,8°
39,2019-2-9,mostly cloudy,12°,7°
40,2019-2-10,mostly cloudy,11°,4°
41,2019-2-11,cloudy,9°,2°
42,2019-2-12,mostly sunny,10°,0°
43,2019-2-13,mostly sunny,12°,0°
44,2019-2-14,mostly sunny,13°,-1°
45,2019-2-15,mostly sunny,16°,0°
46,2019-2-16,mostly sunny,15°,2°
47,2019-2-17,mostly sunny,16°,3°
48,2019-2-18,foggy,12°,4°
49,2019-2-19,mostly sunny,10°,3°
50,2019-2-20,mostly sunny,13°,1°
51,2019-2-21,foggy,12°,3°
52,2019-2-22,foggy,16°,-1°
53,2019-2-23,mostly sunny,16°,4°
54,2019-2-24,mostly sunny,16°,1°
55,2019-2-25,mostly sunny,16°,1°
56,2019-2-26,mostly sunny,18°,1°
57,2019-2-27,mostly sunny,19°,1°
58,2019-2-28,cloudy,14°,9°
59,2019-3-1,cloudy,11°,6°
60,2019-3-2,cloudy,13°,7°
61,2019-3-3,cloudy,14°,11°
62,2019-3-4,mostly cloudy,12°,5°
63,2019-3-5,cloudy,13°,6°
64,2019-3-6,cloudy,13°,9°
65,2019-3-7,mostly cloudy,10°,6°
66,2019-3-8,mostly cloudy,12°,5°
67,2019-3-9,cloudy,14°,9°
68,2019-3-10,cloudy,13°,6°
69,2019-3-11,mostly sunny,11°,4°
70,2019-3-12,cloudy,11°,5°
71,2019-3-13,mostly cloudy,11°,5°
72,2019-3-14,cloudy,11°,8°
73,2019-3-15,cloudy,12°,10°
74,2019-3-16,cloudy,15°,9°
75,2019-3-17,scattered showers,11°,5°
76,2019-3-18,mostly cloudy,10°,5°
77,2019-3-19,cloudy,11°,5°
78,2019-3-20,cloudy,15°,4°
79,2019-3-21,cloudy,12°,8°
80,2019-3-22,foggy,16°,6°
81,2019-3-23,foggy,12°,4°
82,2019-3-24,cloudy,11°,5°
83,2019-3-25,mostly sunny,10°,3°
84,2019-3-26,mostly sunny,12°,0°
85,2019-3-27,mostly sunny,13°,2°
86,2019-3-28,cloudy,12°,2°
87,2019-3-29,mostly sunny,15°,2°
88,2019-3-30,mostly sunny,20°,3°
89,2019-3-31,foggy,16°,3°
90,2019-4-1,mostly sunny,14°,6°
91,2019-4-2,foggy,11°,3°
92,2019-4-3,mostly cloudy,8°,1°
93,2019-4-4,mostly sunny,10°,0°
94,2019-4-5,mostly sunny,11°,5°
