,current_day,cloud,temp_max,temp_min
0,2019-1-1,cloudy,7°,5°
1,2019-1-2,cloudy,5°,0°
2,2019-1-3,cloudy,2°,-4°
3,2019-1-4,cloudy,3°,-1°
4,2019-1-5,cloudy,5°,1°
5,2019-1-6,cloudy,4°,2°
6,2019-1-7,cloudy,5°,2°
7,2019-1-8,cloudy,6°,3°
8,2019-1-9,cloudy,5°,2°
9,2019-1-10,cloudy,2°,-1°
10,2019-1-11,foggy,2°,-3°
11,2019-1-12,cloudy,6°,2°
12,2019-1-13,cloudy,9°,6°
13,2019-1-14,cloudy,9°,2°
14,2019-1-15,cloudy,6°,2°
15,2019-1-16,cloudy,7°,1°
16,2019-1-17,cloudy,6°,0°
17,2019-1-18,mostly cloudy,2°,-3°
18,2019-1-19,mostly sunny,2°,-5°
19,2019-1-20,cloudy,0°,-4°
20,2019-1-21,foggy,-2°,-7°
21,2019-1-22,foggy,0°,-7°
22,2019-1-23,foggy,0°,-2°
23,2019-1-24,cloudy,-2°,-4°
24,2019-1-25,cloudy,1°,-3°
25,2019-1-26,foggy,5°,0°
26,2019-1-27,cloudy,6°,2°
27,2019-1-28,cloudy,3°,0°
28,2019-1-29,cloudy,2°,-1°
29,2019-1-30,snow,1°,-3°
30,2019-1-31,cloudy,2°,-2°
31,2019-2-1,scattered showers,6°,1°
32,2019-2-2,cloudy,5°,2°
33,2019-2-3,cloudy,4°,-1°
34,2019-2-4,mostly sunny,4°,-3°
35,2019-2-5,mostly sunny,8°,-2°
36,2019-2-6,mostly sunny,8°,-3°
37,2019-2-7,cloudy,9°,2°
38,2019-2-8,cloudy,9°,3°
39,2019-2-9,cloudy,10°,6°
40,2019-2-10,scattered showers,10°,4°
41,2019-2-11,cloudy,6°,1°
42,2019-2-12,foggy,6°,-2°
43,2019-2-13,foggy,6°,-5°
44,2019-2-14,mostly sunny,12°,-4°
45,2019-2-15,mostly sunny,13°,-2°
46,2019-2-16,mostly sunny,15°,-1°
47,2019-2-17,mostly sunny,17°,3°
48,2019-2-18,mostly sunny,14°,4°
49,2019-2-19,cloudy,10°,2°
50,2019-2-20,foggy,12°,1°
51,2019-2-21,foggy,15°,0°
52,2019-2-22,cloudy,15°,6°
53,2019-2-23,mostly sunny,13°,2°
54,2019-2-24,mostly sunny,15°,0°
55,2019-2-25,mostly sunny,18°,1°
56,2019-2-26,mostly sunny,19°,1°
57,2019-2-27,mostly sunny,20°,2°
58,2019-2-28,mostly sunny,15°,5°
59,2019-3-1,cloudy,9°,6°
60,2019-3-2,cloudy,10°,5°
61,2019-3-3,cloudy,12°,7°
62,2019-3-4,cloudy,12°,5°
63,2019-3-5,cloudy,7°,4°
64,2019-3-6,mostly sunny,14°,5°
65,2019-3-7,mostly cloudy,14°,7°
66,2019-3-8,cloudy,11°,6°
67,2019-3-9,cloudy,11°,6°
68,2019-3-10,scattered showers,14°,5°
69,2019-3-11,cloudy,8°,2°
70,2019-3-12,mostly sunny,11°,0°
71,2019-3-13,cloudy,8°,4°
72,2019-3-14,scattered showers,10°,5°
73,2019-3-15,cloudy,11°,7°
74,2019-3-16,cloudy,11°,7°
75,2019-3-17,cloudy,10°,2°
76,2019-3-18,cloudy,8°,2°
77,2019-3-19,mostly sunny,11°,-1°
78,2019-3-20,mostly sunny,13°,-1°
79,2019-3-21,mostly sunny,16°,1°
80,2019-3-22,mostly sunny,17°,1°
81,2019-3-23,mostly sunny,17°,3°
82,2019-3-24,foggy,14°,3°
83,2019-3-25,cloudy,10°,0°
84,2019-3-26,mostly sunny,11°,2°
85,2019-3-27,mostly sunny,12°,3°
86,2019-3-28,mostly sunny,16°,0°
87,2019-3-29,mostly sunny,17°,4°
88,2019-3-30,mostly sunny,20°,6°
89,2019-3-31,mostly sunny,21°,5°
90,2019-4-1,mostly sunny,19°,5°
91,2019-4-2,mostly sunny,16°,7°
92,2019-4-3,cloudy,9°,4°
93,2019-4-4,scattered showers,9°,3°
94,2019-4-5,cloudy,10°,-1°
95,2019-4-6,foggy,16°,3°
96,2019-4-7,mostly sunny,15°,5°
97,2019-4-8,cloudy,11°,8°
98,2019-4-9,foggy,12°,5°
99,2019-4-10,foggy,10°,7°
100,2019-4-11,mostly sunny,13°,1°
101,2019-4-12,mostly sunny,10°,0°
102,2019-4-13,mostly cloudy,6°,1°
103,2019-4-14,cloudy,9°,-3°
104,2019-4-15,mostly sunny,16°,-1°
105,2019-4-16,scattered showers,14°,5°
106,2019-4-17,foggy,18°,6°
107,2019-4-18,mostly sunny,22°,6°
108,2019-4-19,mostly sunny,23°,8°
109,2019-4-20,mostly sunny,24°,9°
110,2019-4-21,mostly sunny,24°,9°
111,2019-4-22,mostly sunny,24°,8°
112,2019-4-23,mostly sunny,22°,10°
113,2019-4-24,mostly sunny,21°,9°
114,2019-4-25,scattered showers,16°,8°
115,2019-4-26,mostly cloudy,16°,7°
116,2019-4-27,cloudy,12°,5°
117,2019-4-28,cloudy,9°,4°
118,2019-4-29,foggy,14°,0°
119,2019-4-30,cloudy,17°,9°
120,2019-5-1,mostly sunny,20°,6°
121,2019-5-2,foggy,16°,8°
122,2019-5-3,mostly cloudy,15°,7°
123,2019-5-4,mostly cloudy,8°,2°
124,2019-5-5,mostly cloudy,11°,0°
125,2019-5-6,mostly sunny,12°,3°
126,2019-5-7,mostly sunny,14°,2°
127,2019-5-8,scattered showers,13°,7°
128,2019-5-9,scattered showers,15°,8°
129,2019-5-10,cloudy,16°,6°
130,2019-5-11,cloudy,15°,8°
131,2019-5-12,mostly sunny,14°,5°
132,2019-5-13,mostly sunny,17°,3°
133,2019-5-14,mostly sunny,16°,3°
134,2019-5-15,mostly sunny,16°,3°
135,2019-5-16,mostly sunny,18°,4°
136,2019-5-17,mostly sunny,19°,7°
137,2019-5-18,mostly sunny,20°,11°
138,2019-5-19,cloudy,19°,11°
139,2019-5-20,cloudy,18°,12°
140,2019-5-21,cloudy,17°,11°
141,2019-5-22,mostly sunny,20°,6°
142,2019-5-23,mostly sunny,22°,8°
143,2019-5-24,mostly sunny,24°,11°
144,2019-5-25,mostly sunny,21°,12°
145,2019-5-26,mostly sunny,22°,9°
146,2019-5-27,cloudy,20°,13°
147,2019-5-28,mostly cloudy,17°,9°
148,2019-5-29,mostly sunny,19°,7°
149,2019-5-30,cloudy,20°,9°
150,2019-5-31,mostly sunny,24°,11°
151,2019-6-1,mostly sunny,28°,12°
152,2019-6-2,mostly sunny,30°,15°
153,2019-6-3,mostly sunny,26°,17°
154,2019-6-4,mostly sunny,31°,13°
155,2019-6-5,mostly sunny,28°,17°
156,2019-6-6,cloudy,17°,9°
157,2019-6-7,mostly sunny,24°,9°
158,2019-6-8,mostly sunny,20°,11°
159,2019-6-9,mostly sunny,22°,8°
160,2019-6-10,mostly cloudy,21°,13°
161,2019-6-11,cloudy,17°,11°
162,2019-6-12,scattered showers,20°,12°
163,2019-6-13,mostly sunny,22°,10°
164,2019-6-14,mostly sunny,23°,12°
165,2019-6-15,cloudy,23°,15°
166,2019-6-16,mostly sunny,23°,13°
167,2019-6-17,mostly sunny,26°,12°
168,2019-6-18,mostly sunny,28°,15°
169,2019-6-19,mostly sunny,29°,17°
170,2019-6-20,mostly cloudy,22°,16°
171,2019-6-21,mostly sunny,23°,12°
172,2019-6-22,mostly sunny,22°,12°
173,2019-6-23,mostly sunny,27°,14°
174,2019-6-24,mostly sunny,31°,16°
175,2019-6-25,mostly sunny,34°,19°
176,2019-6-26,mostly sunny,36°,19°
177,2019-6-27,mostly sunny,34°,0°
178,2019-6-28,mostly sunny,32°,16°
179,2019-6-29,mostly sunny,34°,15°
180,2019-6-30,mostly sunny,34°,19°
181,2019-7-1,mostly sunny,27°,17°
182,2019-7-2,mostly sunny,26°,14°
183,2019-7-3,mostly sunny,26°,13°
184,2019-7-4,mostly sunny,28°,12°
185,2019-7-5,mostly sunny,30°,14°
186,2019-7-6,mostly sunny,32°,14°
187,2019-7-7,mostly sunny,22°,16°
188,2019-7-8,mostly sunny,22°,11°
189,2019-7-9,mostly sunny,22°,9°
190,2019-7-10,mostly sunny,25°,11°
191,2019-7-11,mostly sunny,26°,16°
192,2019-7-12,mostly sunny,26°,16°
193,2019-7-13,mostly cloudy,23°,12°
194,2019-7-14,cloudy,22°,14°
195,2019-7-15,mostly sunny,22°,11°
196,2019-7-16,mostly sunny,25°,10°
197,2019-7-17,mostly sunny,27°,13°
198,2019-7-18,mostly sunny,28°,14°
199,2019-7-19,mostly sunny,25°,18°
200,2019-7-20,mostly sunny,31°,17°
201,2019-7-21,mostly sunny,28°,18°
202,2019-7-22,mostly sunny,31°,16°
203,2019-7-23,mostly sunny,35°,17°
204,2019-7-24,mostly sunny,40°,20°
205,2019-7-25,mostly sunny,39°,23°
206,2019-7-26,mostly sunny,34°,24°
207,2019-7-27,cloudy,26°,18°
208,2019-7-28,cloudy,22°,16°
209,2019-7-29,mostly sunny,27°,13°
210,2019-7-30,mostly sunny,25°,16°
211,2019-7-31,mostly sunny,23°,16°
212,2019-8-1,mostly sunny,27°,12°
213,2019-8-2,mostly sunny,27°,17°
214,2019-8-3,mostly sunny,26°,14°
215,2019-8-4,mostly sunny,30°,15°
216,2019-8-5,mostly sunny,27°,19°
217,2019-8-6,mostly sunny,28°,18°
218,2019-8-7,cloudy,23°,16°
219,2019-8-8,mostly sunny,28°,15°
220,2019-8-9,mostly sunny,32°,18°
221,2019-8-10,mostly sunny,26°,18°
222,2019-8-11,mostly sunny,22°,14°
223,2019-8-12,mostly sunny,21°,12°
224,2019-8-13,mostly sunny,21°,11°
225,2019-8-14,mostly sunny,23°,12°
226,2019-8-15,cloudy,22°,15°
227,2019-8-16,mostly sunny,25°,12°
228,2019-8-17,scattered showers,20°,16°
229,2019-8-18,mostly sunny,27°,17°
230,2019-8-19,mostly sunny,23°,15°
231,2019-8-20,mostly sunny,20°,12°
232,2019-8-21,mostly sunny,24°,10°
233,2019-8-22,mostly sunny,26°,11°
234,2019-8-23,mostly sunny,28°,13°
235,2019-8-24,mostly sunny,29°,14°
236,2019-8-25,mostly sunny,31°,15°
237,2019-8-26,mostly sunny,32°,17°
238,2019-8-27,mostly sunny,33°,17°
239,2019-8-28,mostly sunny,32°,21°
240,2019-8-29,mostly sunny,27°,19°
241,2019-8-30,mostly sunny,29°,14°
242,2019-8-31,mostly sunny,33°,16°
243,2019-9-1,cloudy,24°,15°
244,2019-9-2,mostly sunny,22°,11°
245,2019-9-3,mostly sunny,24°,10°
246,2019-9-4,mostly sunny,26°,11°
247,2019-9-5,cloudy,20°,10°
248,2019-9-6,mostly sunny,20°,7°
249,2019-9-7,mostly cloudy,17°,10°
250,2019-9-8,cloudy,15°,9°
251,2019-9-9,mostly sunny,18°,7°
252,2019-9-10,mostly sunny,21°,8°
253,2019-9-11,mostly sunny,22°,9°
