,current_day,cloud,temp_max,temp_min
0,2019-1-1,cloudy,6°,6°
1,2019-1-2,cloudy,6°,2°
2,2019-1-3,mostly sunny,4°,-1°
3,2019-1-4,mostly sunny,5°,-1°
4,2019-1-5,cloudy,4°,0°
5,2019-1-6,cloudy,4°,3°
6,2019-1-7,cloudy,4°,2°
7,2019-1-8,scattered showers,5°,2°
8,2019-1-9,mostly cloudy,4°,2°
9,2019-1-10,mostly cloudy,3°,1°
10,2019-1-11,mostly cloudy,3°,-1°
11,2019-1-12,cloudy,5°,0°
12,2019-1-13,cloudy,7°,3°
13,2019-1-14,scattered showers,8°,5°
14,2019-1-15,mostly sunny,8°,0°
15,2019-1-16,mostly sunny,12°,-1°
16,2019-1-17,mostly cloudy,10°,2°
17,2019-1-18,mostly cloudy,3°,-1°
18,2019-1-19,foggy,3°,-4°
19,2019-1-20,mostly sunny,8°,0°
20,2019-1-21,foggy,3°,1°
21,2019-1-22,cloudy,4°,-1°
22,2019-1-23,snow,1°,0°
23,2019-1-24,cloudy,1°,-1°
24,2019-1-25,mostly sunny,2°,-3°
25,2019-1-26,cloudy,5°,-1°
26,2019-1-27,mostly cloudy,10°,2°
27,2019-1-28,mostly cloudy,5°,1°
28,2019-1-29,mostly sunny,6°,-1°
29,2019-1-30,mostly cloudy,5°,2°
30,2019-1-31,mostly cloudy,8°,2°
31,2019-2-1,scattered showers,9°,5°
32,2019-2-2,mostly cloudy,5°,1°
33,2019-2-3,scattered showers,3°,2°
34,2019-2-4,partly cloudy,4°,-2°
35,2019-2-5,mostly sunny,7°,-2°
36,2019-2-6,foggy,9°,-3°
37,2019-2-7,scattered showers,7°,1°
38,2019-2-8,mostly sunny,9°,1°
39,2019-2-9,mostly sunny,13°,8°
40,2019-2-10,mostly sunny,12°,6°
41,2019-2-11,mostly cloudy,7°,3°
42,2019-2-12,mostly cloudy,7°,1°
43,2019-2-13,mostly sunny,9°,1°
44,2019-2-14,mostly sunny,16°,-1°
45,2019-2-15,mostly sunny,16°,0°
46,2019-2-16,mostly sunny,19°,2°
47,2019-2-17,mostly sunny,17°,6°
48,2019-2-18,mostly sunny,15°,6°
49,2019-2-19,mostly sunny,15°,2°
50,2019-2-20,mostly sunny,14°,3°
