,current_day,cloud,temp_max,temp_min
0,2019-1-1,mostly sunny,16°,5°
1,2019-1-2,mostly sunny,17°,3°
2,2019-1-3,mostly sunny,14°,2°
3,2019-1-4,mostly sunny,13°,1°
4,2019-1-5,mostly sunny,14°,0°
5,2019-1-6,mostly sunny,15°,3°
6,2019-1-7,mostly sunny,18°,2°
7,2019-1-8,mostly sunny,9°,1°
8,2019-1-9,mostly sunny,14°,0°
9,2019-1-10,mostly sunny,13°,-1°
10,2019-1-11,mostly sunny,13°,-1°
11,2019-1-12,mostly sunny,14°,-1°
12,2019-1-13,mostly sunny,15°,2°
13,2019-1-14,mostly sunny,17°,3°
14,2019-1-15,mostly sunny,17°,3°
15,2019-1-16,cloudy,13°,3°
16,2019-1-17,cloudy,13°,7°
17,2019-1-18,mostly sunny,15°,2°
18,2019-1-19,cloudy,10°,3°
19,2019-1-20,cloudy,11°,3°
20,2019-1-21,mostly sunny,13°,1°
21,2019-1-22,mostly sunny,12°,0°
22,2019-1-23,cloudy,11°,0°
23,2019-1-24,mostly sunny,14°,2°
24,2019-1-25,mostly sunny,13°,0°
25,2019-1-26,mostly sunny,14°,0°
26,2019-1-27,mostly sunny,14°,1°
27,2019-1-28,mostly sunny,14°,2°
28,2019-1-29,mostly sunny,12°,-1°
29,2019-1-30,mostly sunny,12°,3°
30,2019-1-31,cloudy,12°,1°
31,2019-2-1,scattered showers,14°,7°
32,2019-2-2,cloudy,13°,6°
33,2019-2-3,mostly sunny,13°,3°
34,2019-2-4,mostly sunny,16°,2°
35,2019-2-5,mostly sunny,15°,2°
36,2019-2-6,mostly sunny,16°,2°
37,2019-2-7,mostly sunny,14°,1°
38,2019-2-8,mostly sunny,15°,3°
39,2019-2-9,mostly sunny,15°,3°
40,2019-2-10,cloudy,13°,4°
41,2019-2-11,mostly sunny,15°,4°
42,2019-2-12,mostly sunny,17°,1°
43,2019-2-13,mostly sunny,15°,3°
44,2019-2-14,mostly sunny,18°,2°
45,2019-2-15,mostly sunny,16°,3°
46,2019-2-16,mostly sunny,18°,4°
47,2019-2-17,mostly sunny,14°,2°
48,2019-2-18,mostly sunny,14°,2°
49,2019-2-19,cloudy,14°,4°
50,2019-2-20,mostly sunny,14°,5°
51,2019-2-21,mostly sunny,15°,3°
52,2019-2-22,mostly sunny,16°,5°
53,2019-2-23,mostly sunny,16°,4°
54,2019-2-24,mostly sunny,17°,3°
55,2019-2-25,mostly sunny,17°,4°
56,2019-2-26,mostly sunny,20°,6°
57,2019-2-27,mostly sunny,17°,4°
58,2019-2-28,cloudy,16°,4°
59,2019-3-1,mostly sunny,22°,7°
60,2019-3-2,mostly sunny,19°,4°
61,2019-3-3,mostly sunny,17°,4°
62,2019-3-4,cloudy,20°,6°
63,2019-3-5,mostly sunny,21°,8°
64,2019-3-6,cloudy,17°,5°
65,2019-3-7,mostly sunny,20°,12°
66,2019-3-8,mostly sunny,21°,8°
67,2019-3-9,mostly sunny,17°,5°
68,2019-3-10,mostly sunny,23°,7°
69,2019-3-11,mostly sunny,21°,9°
70,2019-3-12,mostly sunny,15°,2°
71,2019-3-13,mostly sunny,19°,5°
72,2019-3-14,mostly sunny,20°,3°
73,2019-3-15,mostly sunny,16°,6°
74,2019-3-16,mostly sunny,17°,5°
75,2019-3-17,cloudy,17°,9°
