,current_day,cloud,temp_max,temp_min
0,2019-1-1,mostly sunny,13°,0°
1,2019-1-2,mostly sunny,10°,5°
2,2019-1-3,mostly sunny,10°,-1°
3,2019-1-4,mostly sunny,8°,1°
4,2019-1-5,mostly sunny,9°,1°
5,2019-1-6,mostly sunny,10°,5°
6,2019-1-7,mostly sunny,11°,0°
7,2019-1-8,mostly sunny,12°,-1°
8,2019-1-9,mostly sunny,9°,5°
9,2019-1-10,mostly sunny,8°,2°
10,2019-1-11,mostly sunny,8°,-2°
11,2019-1-12,mostly sunny,11°,-3°
12,2019-1-13,mostly sunny,12°,7°
13,2019-1-14,mostly sunny,14°,8°
14,2019-1-15,mostly sunny,13°,2°
15,2019-1-16,mostly sunny,14°,1°
16,2019-1-17,mostly sunny,13°,7°
17,2019-1-18,mostly sunny,9°,3°
18,2019-1-19,mostly sunny,10°,0°
19,2019-1-20,mostly sunny,10°,3°
20,2019-1-21,mostly sunny,11°,-1°
21,2019-1-22,mostly sunny,8°,-1°
22,2019-1-23,cloudy,6°,-2°
23,2019-1-24,mostly sunny,7°,2°
24,2019-1-25,mostly sunny,7°,1°
25,2019-1-26,mostly sunny,13°,4°
26,2019-1-27,mostly sunny,13°,2°
27,2019-1-28,mostly sunny,9°,2°
28,2019-1-29,mostly sunny,8°,4°
29,2019-1-30,mostly sunny,9°,2°
30,2019-1-31,cloudy,13°,4°
31,2019-2-1,cloudy,15°,11°
32,2019-2-2,cloudy,12°,6°
33,2019-2-3,mostly sunny,8°,5°
34,2019-2-4,mostly sunny,10°,2°
35,2019-2-5,mostly sunny,12°,3°
36,2019-2-6,mostly sunny,14°,-2°
37,2019-2-7,mostly sunny,13°,0°
38,2019-2-8,mostly sunny,14°,5°
39,2019-2-9,mostly sunny,15°,3°
40,2019-2-10,cloudy,16°,6°
41,2019-2-11,mostly sunny,12°,6°
42,2019-2-12,mostly sunny,13°,5°
43,2019-2-13,mostly sunny,15°,-1°
44,2019-2-14,mostly sunny,14°,1°
45,2019-2-15,foggy,17°,1°
46,2019-2-16,mostly sunny,17°,1°
47,2019-2-17,mostly sunny,15°,2°
48,2019-2-18,mostly cloudy,15°,5°
49,2019-2-19,cloudy,14°,5°
50,2019-2-20,mostly sunny,14°,2°
51,2019-2-21,mostly sunny,15°,4°
52,2019-2-22,foggy,20°,4°
53,2019-2-23,mostly sunny,19°,4°
54,2019-2-24,mostly sunny,16°,6°
55,2019-2-25,mostly sunny,18°,4°
56,2019-2-26,mostly sunny,20°,5°
57,2019-2-27,mostly sunny,18°,5°
58,2019-2-28,foggy,22°,6°
59,2019-3-1,mostly sunny,19°,10°
60,2019-3-2,mostly sunny,18°,10°
61,2019-3-3,mostly sunny,18°,8°
62,2019-3-4,mostly sunny,17°,9°
63,2019-3-5,mostly sunny,16°,9°
64,2019-3-6,mostly cloudy,16°,7°
65,2019-3-7,mostly sunny,17°,9°
66,2019-3-8,mostly sunny,17°,5°
67,2019-3-9,mostly sunny,18°,4°
68,2019-3-10,mostly sunny,18°,8°
69,2019-3-11,mostly sunny,16°,9°
70,2019-3-12,mostly sunny,15°,5°
71,2019-3-13,mostly sunny,15°,7°
72,2019-3-14,mostly sunny,16°,7°
73,2019-3-15,mostly sunny,20°,10°
74,2019-3-16,mostly sunny,21°,11°
75,2019-3-17,mostly sunny,17°,9°
76,2019-3-18,mostly sunny,14°,8°
77,2019-3-19,mostly sunny,16°,3°
78,2019-3-20,mostly sunny,16°,3°
79,2019-3-21,mostly sunny,17°,3°
80,2019-3-22,mostly sunny,22°,5°
81,2019-3-23,mostly sunny,24°,5°
82,2019-3-24,mostly sunny,22°,6°
83,2019-3-25,mostly sunny,18°,7°
84,2019-3-26,mostly sunny,17°,7°
85,2019-3-27,mostly sunny,17°,2°
86,2019-3-28,mostly sunny,18°,4°
87,2019-3-29,mostly sunny,18°,6°
88,2019-3-30,mostly sunny,18°,4°
89,2019-3-31,mostly sunny,18°,5°
90,2019-4-1,mostly sunny,19°,6°
91,2019-4-2,mostly sunny,18°,6°
92,2019-4-3,mostly cloudy,15°,9°
93,2019-4-4,mostly sunny,14°,6°
94,2019-4-5,mostly sunny,16°,3°
95,2019-4-6,cloudy,12°,9°
96,2019-4-7,mostly sunny,16°,8°
97,2019-4-8,mostly sunny,18°,8°
98,2019-4-9,mostly sunny,18°,6°
99,2019-4-10,mostly sunny,19°,10°
100,2019-4-11,mostly sunny,19°,7°
101,2019-4-12,mostly sunny,19°,9°
102,2019-4-13,mostly sunny,19°,6°
103,2019-4-14,mostly sunny,16°,7°
104,2019-4-15,mostly sunny,18°,2°
105,2019-4-16,mostly sunny,17°,11°
106,2019-4-17,mostly sunny,18°,7°
107,2019-4-18,mostly sunny,21°,9°
108,2019-4-19,mostly sunny,25°,12°
109,2019-4-20,mostly sunny,24°,10°
110,2019-4-21,mostly sunny,22°,16°
111,2019-4-22,mostly sunny,27°,14°
112,2019-4-23,cloudy,19°,15°
113,2019-4-24,cloudy,18°,14°
114,2019-4-25,cloudy,21°,14°
115,2019-4-26,mostly sunny,19°,11°
116,2019-4-27,mostly sunny,20°,11°
117,2019-4-28,mostly sunny,18°,11°
118,2019-4-29,mostly sunny,19°,10°
119,2019-4-30,mostly sunny,21°,7°
120,2019-5-1,mostly sunny,20°,8°
121,2019-5-2,mostly sunny,22°,10°
122,2019-5-3,mostly sunny,19°,13°
123,2019-5-4,mostly sunny,21°,11°
124,2019-5-5,mostly sunny,14°,8°
125,2019-5-6,mostly sunny,19°,8°
126,2019-5-7,mostly sunny,19°,5°
127,2019-5-8,cloudy,17°,13°
128,2019-5-9,mostly sunny,21°,11°
129,2019-5-10,mostly sunny,23°,11°
130,2019-5-11,mostly sunny,23°,13°
131,2019-5-12,mostly sunny,20°,13°
132,2019-5-13,mostly sunny,23°,11°
133,2019-5-14,mostly sunny,23°,10°
134,2019-5-15,mostly sunny,18°,11°
135,2019-5-16,mostly sunny,21°,8°
136,2019-5-17,mostly sunny,18°,12°
137,2019-5-18,mostly sunny,20°,12°
138,2019-5-19,cloudy,17°,12°
139,2019-5-20,mostly sunny,23°,13°
140,2019-5-21,mostly sunny,25°,14°
141,2019-5-22,mostly sunny,25°,12°
142,2019-5-23,mostly sunny,23°,11°
143,2019-5-24,mostly sunny,23°,13°
144,2019-5-25,mostly sunny,24°,15°
145,2019-5-26,mostly sunny,24°,16°
146,2019-5-27,mostly sunny,27°,13°
147,2019-5-28,mostly sunny,25°,17°
148,2019-5-29,mostly sunny,22°,15°
149,2019-5-30,mostly sunny,27°,10°
150,2019-5-31,mostly sunny,25°,12°
151,2019-6-1,mostly sunny,25°,13°
152,2019-6-2,mostly sunny,26°,15°
153,2019-6-3,mostly sunny,26°,15°
154,2019-6-4,mostly sunny,27°,17°
155,2019-6-5,mostly sunny,30°,17°
156,2019-6-6,mostly sunny,24°,15°
157,2019-6-7,mostly sunny,28°,15°
158,2019-6-8,mostly sunny,28°,15°
159,2019-6-9,mostly sunny,28°,18°
160,2019-6-10,mostly sunny,29°,17°
161,2019-6-11,scattered showers,18°,14°
162,2019-6-12,mostly sunny,22°,13°
163,2019-6-13,mostly sunny,26°,12°
164,2019-6-14,mostly sunny,33°,17°
165,2019-6-15,mostly sunny,25°,19°
166,2019-6-16,mostly sunny,29°,17°
167,2019-6-17,mostly sunny,29°,16°
168,2019-6-18,mostly sunny,30°,17°
169,2019-6-19,mostly sunny,29°,18°
170,2019-6-20,mostly sunny,30°,15°
171,2019-6-21,mostly sunny,27°,20°
172,2019-6-22,mostly sunny,29°,20°
173,2019-6-23,mostly sunny,31°,17°
174,2019-6-24,mostly sunny,33°,18°
175,2019-6-25,mostly sunny,36°,19°
176,2019-6-26,mostly sunny,37°,21°
177,2019-6-27,mostly sunny,38°,23°
178,2019-6-28,mostly sunny,39°,23°
179,2019-6-29,mostly sunny,36°,25°
180,2019-6-30,mostly sunny,37°,25°
