,current_day,cloud,temp_max,temp_min
0,2019-1-1,mostly sunny,14°,3°
1,2019-1-2,mostly sunny,14°,1°
2,2019-1-3,mostly sunny,11°,0°
3,2019-1-4,mostly sunny,9°,1°
4,2019-1-5,mostly sunny,13°,2°
5,2019-1-6,mostly sunny,12°,2°
6,2019-1-7,mostly sunny,11°,0°
7,2019-1-8,mostly sunny,12°,-3°
8,2019-1-9,mostly sunny,11°,5°
9,2019-1-10,mostly sunny,9°,2°
10,2019-1-11,mostly sunny,9°,-1°
11,2019-1-12,mostly sunny,14°,0°
12,2019-1-13,mostly sunny,15°,9°
13,2019-1-14,mostly sunny,16°,7°
14,2019-1-15,mostly sunny,14°,2°
15,2019-1-16,cloudy,12°,2°
16,2019-1-17,mostly sunny,14°,6°
17,2019-1-18,mostly sunny,11°,3°
18,2019-1-19,mostly sunny,10°,-2°
19,2019-1-20,scattered showers,7°,2°
20,2019-1-21,mostly sunny,13°,0°
21,2019-1-22,mostly sunny,8°,-1°
22,2019-1-23,mostly sunny,10°,3°
23,2019-1-24,mostly sunny,9°,0°
24,2019-1-25,mostly sunny,12°,0°
25,2019-1-26,mostly sunny,16°,0°
26,2019-1-27,mostly sunny,14°,6°
27,2019-1-28,mostly sunny,11°,4°
28,2019-1-29,mostly sunny,9°,2°
29,2019-1-30,mostly sunny,10°,2°
30,2019-1-31,cloudy,9°,0°
31,2019-2-1,cloudy,11°,7°
32,2019-2-2,cloudy,9°,5°
33,2019-2-3,mostly sunny,10°,5°
34,2019-2-4,mostly sunny,12°,0°
35,2019-2-5,mostly sunny,14°,3°
36,2019-2-6,mostly sunny,16°,0°
37,2019-2-7,mostly sunny,16°,0°
38,2019-2-8,mostly sunny,14°,2°
39,2019-2-9,mostly sunny,14°,2°
40,2019-2-10,foggy,15°,7°
41,2019-2-11,mostly sunny,14°,6°
42,2019-2-12,mostly sunny,16°,4°
43,2019-2-13,mostly sunny,15°,1°
44,2019-2-14,cloudy,14°,2°
45,2019-2-15,mostly sunny,14°,-1°
46,2019-2-16,mostly sunny,15°,0°
47,2019-2-17,cloudy,14°,5°
48,2019-2-18,cloudy,14°,7°
49,2019-2-19,cloudy,13°,4°
50,2019-2-20,mostly sunny,13°,1°
51,2019-2-21,mostly sunny,14°,1°
52,2019-2-22,mostly sunny,23°,4°
53,2019-2-23,mostly sunny,19°,8°
54,2019-2-24,cloudy,15°,8°
55,2019-2-25,mostly sunny,16°,3°
56,2019-2-26,mostly sunny,19°,4°
57,2019-2-27,mostly sunny,19°,3°
58,2019-2-28,mostly sunny,23°,3°
59,2019-3-1,mostly sunny,19°,10°
60,2019-3-2,mostly sunny,18°,10°
61,2019-3-3,mostly sunny,16°,4°
62,2019-3-4,mostly sunny,18°,10°
63,2019-3-5,mostly sunny,16°,6°
64,2019-3-6,cloudy,14°,6°
65,2019-3-7,mostly sunny,17°,10°
66,2019-3-8,mostly sunny,16°,3°
67,2019-3-9,mostly sunny,18°,9°
68,2019-3-10,mostly sunny,18°,13°
69,2019-3-11,mostly sunny,16°,7°
70,2019-3-12,mostly sunny,13°,0°
71,2019-3-13,mostly sunny,15°,5°
72,2019-3-14,mostly sunny,15°,9°
73,2019-3-15,mostly sunny,20°,13°
74,2019-3-16,mostly sunny,18°,7°
75,2019-3-17,mostly sunny,20°,7°
76,2019-3-18,mostly sunny,16°,8°
77,2019-3-19,mostly sunny,17°,6°
78,2019-3-20,mostly sunny,17°,3°
79,2019-3-21,mostly sunny,17°,3°
80,2019-3-22,mostly sunny,20°,4°
81,2019-3-23,mostly sunny,26°,4°
82,2019-3-24,mostly sunny,22°,6°
83,2019-3-25,mostly sunny,21°,7°
84,2019-3-26,mostly sunny,18°,9°
85,2019-3-27,mostly sunny,19°,4°
86,2019-3-28,mostly sunny,17°,3°
87,2019-3-29,mostly sunny,17°,4°
88,2019-3-30,mostly sunny,16°,4°
89,2019-3-31,mostly sunny,17°,4°
90,2019-4-1,mostly sunny,17°,5°
91,2019-4-2,mostly sunny,15°,4°
92,2019-4-3,mostly sunny,13°,8°
93,2019-4-4,mostly sunny,15°,5°
94,2019-4-5,cloudy,15°,0°
95,2019-4-6,mostly cloudy,14°,10°
96,2019-4-7,mostly sunny,14°,8°
97,2019-4-8,mostly sunny,16°,4°
98,2019-4-9,mostly sunny,17°,6°
99,2019-4-10,mostly sunny,20°,10°
100,2019-4-11,mostly sunny,19°,13°
101,2019-4-12,mostly sunny,20°,10°
102,2019-4-13,mostly sunny,19°,6°
103,2019-4-14,mostly sunny,17°,5°
104,2019-4-15,mostly sunny,15°,4°
105,2019-4-16,cloudy,16°,11°
106,2019-4-17,mostly sunny,17°,6°
107,2019-4-18,mostly sunny,19°,9°
108,2019-4-19,mostly sunny,21°,10°
109,2019-4-20,mostly sunny,23°,9°
110,2019-4-21,mostly sunny,19°,13°
111,2019-4-22,mostly sunny,23°,11°
112,2019-4-23,cloudy,16°,13°
113,2019-4-24,mostly sunny,17°,14°
114,2019-4-25,cloudy,16°,10°
115,2019-4-26,mostly sunny,20°,7°
116,2019-4-27,mostly sunny,21°,11°
117,2019-4-28,mostly sunny,20°,10°
118,2019-4-29,mostly sunny,21°,6°
119,2019-4-30,mostly sunny,22°,10°
120,2019-5-1,mostly sunny,21°,8°
121,2019-5-2,mostly sunny,23°,10°
122,2019-5-3,mostly sunny,20°,11°
123,2019-5-4,mostly sunny,21°,13°
124,2019-5-5,mostly sunny,16°,8°
125,2019-5-6,mostly sunny,20°,8°
126,2019-5-7,mostly sunny,18°,5°
127,2019-5-8,cloudy,15°,13°
128,2019-5-9,mostly sunny,22°,9°
129,2019-5-10,mostly sunny,21°,13°
130,2019-5-11,mostly sunny,23°,13°
131,2019-5-12,mostly sunny,21°,13°
132,2019-5-13,mostly sunny,23°,13°
133,2019-5-14,mostly sunny,23°,9°
134,2019-5-15,mostly sunny,22°,11°
135,2019-5-16,mostly sunny,20°,7°
136,2019-5-17,cloudy,15°,12°
137,2019-5-18,mostly sunny,21°,11°
138,2019-5-19,mostly sunny,20°,11°
139,2019-5-20,mostly sunny,23°,14°
140,2019-5-21,mostly sunny,26°,13°
141,2019-5-22,mostly sunny,26°,14°
142,2019-5-23,mostly sunny,24°,13°
143,2019-5-24,mostly sunny,22°,13°
144,2019-5-25,mostly sunny,28°,15°
145,2019-5-26,mostly sunny,27°,17°
146,2019-5-27,mostly sunny,26°,18°
147,2019-5-28,mostly sunny,22°,15°
148,2019-5-29,mostly sunny,24°,14°
149,2019-5-30,mostly sunny,27°,14°
150,2019-5-31,mostly sunny,26°,14°
151,2019-6-1,mostly sunny,22°,13°
152,2019-6-2,mostly sunny,22°,14°
153,2019-6-3,mostly sunny,24°,14°
154,2019-6-4,mostly sunny,22°,15°
155,2019-6-5,mostly sunny,22°,14°
156,2019-6-6,mostly sunny,22°,13°
157,2019-6-7,mostly sunny,22°,16°
158,2019-6-8,mostly sunny,26°,12°
159,2019-6-9,mostly sunny,26°,17°
160,2019-6-10,mostly sunny,26°,18°
161,2019-6-11,mostly sunny,19°,15°
162,2019-6-12,mostly sunny,21°,12°
163,2019-6-13,mostly sunny,21°,10°
164,2019-6-14,mostly sunny,28°,15°
165,2019-6-15,cloudy,27°,19°
166,2019-6-16,mostly sunny,28°,15°
167,2019-6-17,mostly sunny,28°,14°
168,2019-6-18,mostly sunny,26°,14°
169,2019-6-19,mostly sunny,23°,16°
170,2019-6-20,mostly sunny,30°,17°
171,2019-6-21,mostly sunny,27°,18°
172,2019-6-22,mostly sunny,27°,18°
173,2019-6-23,mostly sunny,26°,17°
174,2019-6-24,mostly sunny,27°,17°
175,2019-6-25,mostly sunny,31°,17°
176,2019-6-26,mostly sunny,33°,19°
177,2019-6-27,mostly sunny,35°,20°
