,current_day,cloud,temp_max,temp_min
0,2019-1-1,foggy,7°,4°
1,2019-1-2,mostly sunny,6°,1°
2,2019-1-3,cloudy,1°,-4°
3,2019-1-4,cloudy,4°,-2°
4,2019-1-5,cloudy,6°,1°
5,2019-1-6,scattered showers,5°,3°
6,2019-1-7,foggy,5°,2°
7,2019-1-8,cloudy,9°,3°
8,2019-1-9,cloudy,5°,2°
9,2019-1-10,cloudy,2°,-1°
10,2019-1-11,snow,1°,-2°
11,2019-1-12,cloudy,5°,1°
12,2019-1-13,scattered showers,10°,4°
13,2019-1-14,mostly cloudy,9°,3°
14,2019-1-15,cloudy,8°,1°
15,2019-1-16,mostly sunny,6°,-1°
16,2019-1-17,cloudy,9°,2°
17,2019-1-18,cloudy,5°,-2°
18,2019-1-19,mostly sunny,2°,-4°
19,2019-1-20,foggy,0°,-3°
20,2019-1-21,cloudy,1°,-7°
21,2019-1-22,foggy,1°,-8°
22,2019-1-23,foggy,0°,-4°
23,2019-1-24,cloudy,-1°,-3°
24,2019-1-25,cloudy,1°,-3°
25,2019-1-26,cloudy,5°,1°
26,2019-1-27,cloudy,9°,3°
27,2019-1-28,scattered showers,4°,2°
28,2019-1-29,cloudy,6°,-2°
29,2019-1-30,cloudy,3°,-2°
30,2019-1-31,cloudy,5°,-1°
31,2019-2-1,scattered showers,4°,1°
32,2019-2-2,foggy,9°,4°
33,2019-2-3,cloudy,5°,2°
34,2019-2-4,mostly sunny,6°,-3°
35,2019-2-5,mostly sunny,8°,-3°
36,2019-2-6,foggy,7°,-4°
37,2019-2-7,cloudy,8°,-2°
38,2019-2-8,mostly sunny,10°,3°
39,2019-2-9,cloudy,11°,4°
40,2019-2-10,scattered showers,13°,5°
41,2019-2-11,mostly cloudy,7°,2°
42,2019-2-12,mostly cloudy,7°,-1°
43,2019-2-13,mostly sunny,9°,-4°
44,2019-2-14,mostly sunny,12°,-3°
45,2019-2-15,mostly sunny,12°,-3°
46,2019-2-16,mostly sunny,16°,-4°
47,2019-2-17,mostly sunny,19°,-3°
48,2019-2-18,mostly sunny,15°,-3°
49,2019-2-19,cloudy,10°,1°
50,2019-2-20,foggy,13°,-1°
51,2019-2-21,foggy,16°,-1°
52,2019-2-22,cloudy,14°,5°
53,2019-2-23,mostly sunny,12°,2°
54,2019-2-24,mostly sunny,14°,-1°
55,2019-2-25,mostly sunny,17°,1°
56,2019-2-26,mostly sunny,19°,0°
57,2019-2-27,mostly sunny,19°,-1°
58,2019-2-28,mostly sunny,21°,2°
59,2019-3-1,cloudy,11°,8°
60,2019-3-2,cloudy,12°,6°
61,2019-3-3,cloudy,13°,8°
62,2019-3-4,cloudy,14°,7°
63,2019-3-5,cloudy,10°,5°
64,2019-3-6,mostly sunny,15°,1°
65,2019-3-7,cloudy,13°,8°
66,2019-3-8,cloudy,13°,6°
67,2019-3-9,cloudy,13°,7°
68,2019-3-10,scattered showers,16°,8°
69,2019-3-11,mostly cloudy,9°,2°
70,2019-3-12,mostly sunny,12°,0°
71,2019-3-13,mostly cloudy,11°,5°
72,2019-3-14,scattered showers,10°,5°
73,2019-3-15,cloudy,14°,7°
74,2019-3-16,cloudy,15°,9°
75,2019-3-17,cloudy,15°,3°
76,2019-3-18,cloudy,10°,2°
77,2019-3-19,mostly sunny,12°,0°
78,2019-3-20,mostly sunny,14°,-2°
79,2019-3-21,mostly sunny,17°,1°
80,2019-3-22,mostly sunny,19°,0°
81,2019-3-23,mostly sunny,19°,2°
82,2019-3-24,foggy,17°,3°
83,2019-3-25,mostly sunny,13°,5°
84,2019-3-26,cloudy,12°,4°
85,2019-3-27,mostly cloudy,14°,2°
86,2019-3-28,mostly sunny,17°,1°
87,2019-3-29,mostly sunny,19°,5°
88,2019-3-30,mostly sunny,21°,2°
89,2019-3-31,mostly sunny,22°,3°
90,2019-4-1,mostly sunny,19°,6°
91,2019-4-2,mostly sunny,22°,5°
92,2019-4-3,scattered showers,15°,5°
93,2019-4-4,scattered showers,5°,4°
94,2019-4-5,foggy,10°,2°
95,2019-4-6,foggy,16°,3°
96,2019-4-7,cloudy,15°,5°
97,2019-4-8,cloudy,14°,8°
98,2019-4-9,scattered showers,12°,8°
99,2019-4-10,scattered showers,12°,9°
100,2019-4-11,mostly sunny,14°,5°
101,2019-4-12,mostly sunny,12°,1°
102,2019-4-13,cloudy,8°,3°
103,2019-4-14,cloudy,10°,2°
104,2019-4-15,mostly sunny,19°,0°
105,2019-4-16,scattered showers,18°,3°
106,2019-4-17,foggy,19°,10°
107,2019-4-18,mostly sunny,24°,7°
108,2019-4-19,mostly sunny,24°,8°
109,2019-4-20,mostly sunny,26°,8°
110,2019-4-21,mostly sunny,26°,8°
111,2019-4-22,mostly sunny,27°,9°
112,2019-4-23,mostly sunny,24°,12°
113,2019-4-24,mostly sunny,25°,8°
114,2019-4-25,mostly sunny,21°,6°
115,2019-4-26,scattered showers,14°,8°
116,2019-4-27,cloudy,14°,7°
117,2019-4-28,mostly cloudy,11°,4°
118,2019-4-29,mostly sunny,15°,2°
119,2019-4-30,cloudy,17°,8°
120,2019-5-1,mostly sunny,22°,4°
121,2019-5-2,mostly sunny,19°,7°
122,2019-5-3,cloudy,16°,10°
123,2019-5-4,mostly cloudy,11°,3°
124,2019-5-5,mostly cloudy,10°,2°
125,2019-5-6,mostly cloudy,13°,5°
126,2019-5-7,mostly sunny,16°,2°
127,2019-5-8,cloudy,14°,9°
128,2019-5-9,scattered showers,16°,7°
129,2019-5-10,mostly cloudy,18°,9°
130,2019-5-11,mostly cloudy,19°,10°
131,2019-5-12,mostly sunny,15°,7°
132,2019-5-13,mostly sunny,17°,6°
133,2019-5-14,mostly sunny,17°,6°
134,2019-5-15,mostly sunny,17°,5°
135,2019-5-16,mostly sunny,18°,5°
136,2019-5-17,mostly sunny,20°,7°
