,current_day,cloud,temp_max,temp_min
0,2019-1-1,cloudy,4°,1°
1,2019-1-2,cloudy,7°,2°
2,2019-1-3,mostly sunny,7°,-3°
3,2019-1-4,mostly sunny,6°,-5°
4,2019-1-5,mostly sunny,7°,-4°
5,2019-1-6,cloudy,3°,-2°
6,2019-1-7,cloudy,4°,1°
7,2019-1-8,cloudy,8°,3°
8,2019-1-9,cloudy,8°,4°
9,2019-1-10,cloudy,5°,0°
10,2019-1-11,cloudy,6°,0°
11,2019-1-12,cloudy,8°,3°
12,2019-1-13,cloudy,11°,6°
13,2019-1-14,cloudy,10°,8°
14,2019-1-15,mostly sunny,10°,1°
15,2019-1-16,mostly sunny,12°,-2°
16,2019-1-17,cloudy,11°,4°
17,2019-1-18,mostly cloudy,9°,1°
18,2019-1-19,cloudy,11°,1°
19,2019-1-20,cloudy,8°,4°
20,2019-1-21,cloudy,7°,2°
21,2019-1-22,cloudy,7°,-1°
22,2019-1-23,scattered showers,8°,2°
23,2019-1-24,cloudy,5°,0°
24,2019-1-25,cloudy,8°,0°
25,2019-1-26,cloudy,12°,5°
26,2019-1-27,cloudy,10°,3°
27,2019-1-28,scattered showers,9°,4°
28,2019-1-29,scattered showers,9°,2°
29,2019-1-30,cloudy,6°,3°
30,2019-1-31,scattered showers,10°,2°
31,2019-2-1,mostly sunny,14°,5°
32,2019-2-2,cloudy,6°,4°
33,2019-2-3,mostly cloudy,6°,1°
34,2019-2-4,mostly sunny,7°,-3°
35,2019-2-5,scattered showers,12°,4°
36,2019-2-6,foggy,12°,5°
37,2019-2-7,cloudy,13°,5°
38,2019-2-8,mostly sunny,14°,1°
39,2019-2-9,mostly sunny,16°,3°
40,2019-2-10,mostly cloudy,12°,5°
41,2019-2-11,mostly cloudy,12°,6°
42,2019-2-12,mostly sunny,11°,1°
43,2019-2-13,mostly sunny,14°,-1°
44,2019-2-14,mostly sunny,14°,7°
45,2019-2-15,mostly sunny,15°,7°
46,2019-2-16,mostly sunny,15°,1°
47,2019-2-17,mostly sunny,15°,8°
48,2019-2-18,mostly sunny,16°,8°
49,2019-2-19,cloudy,15°,6°
50,2019-2-20,mostly sunny,16°,2°
51,2019-2-21,mostly sunny,20°,1°
52,2019-2-22,mostly sunny,20°,2°
53,2019-2-23,mostly sunny,19°,3°
54,2019-2-24,mostly sunny,19°,4°
55,2019-2-25,mostly sunny,19°,4°
56,2019-2-26,mostly sunny,22°,3°
57,2019-2-27,mostly sunny,24°,3°
58,2019-2-28,mostly cloudy,15°,8°
59,2019-3-1,cloudy,13°,8°
60,2019-3-2,cloudy,16°,6°
61,2019-3-3,mostly sunny,22°,3°
62,2019-3-4,cloudy,14°,7°
63,2019-3-5,mostly sunny,17°,6°
64,2019-3-6,mostly sunny,19°,9°
65,2019-3-7,mostly sunny,15°,8°
66,2019-3-8,cloudy,14°,5°
67,2019-3-9,cloudy,17°,6°
68,2019-3-10,cloudy,16°,9°
69,2019-3-11,cloudy,15°,5°
70,2019-3-12,mostly sunny,20°,1°
71,2019-3-13,mostly cloudy,12°,7°
72,2019-3-14,mostly cloudy,13°,7°
73,2019-3-15,cloudy,14°,9°
74,2019-3-16,mostly sunny,20°,9°
75,2019-3-17,cloudy,14°,6°
76,2019-3-18,mostly sunny,13°,6°
77,2019-3-19,cloudy,11°,6°
78,2019-3-20,mostly sunny,15°,1°
79,2019-3-21,mostly sunny,16°,0°
80,2019-3-22,mostly sunny,20°,2°
81,2019-3-23,mostly sunny,22°,4°
82,2019-3-24,mostly sunny,21°,5°
83,2019-3-25,mostly sunny,17°,6°
84,2019-3-26,mostly sunny,16°,3°
85,2019-3-27,mostly sunny,17°,2°
86,2019-3-28,mostly sunny,18°,2°
87,2019-3-29,mostly sunny,20°,4°
88,2019-3-30,mostly sunny,18°,9°
89,2019-3-31,mostly sunny,19°,6°
90,2019-4-1,mostly sunny,21°,8°
91,2019-4-2,mostly cloudy,16°,12°
92,2019-4-3,scattered showers,12°,5°
93,2019-4-4,mostly cloudy,13°,3°
94,2019-4-5,mostly sunny,17°,5°
95,2019-4-6,scattered showers,12°,6°
96,2019-4-7,cloudy,16°,2°
97,2019-4-8,mostly sunny,17°,4°
98,2019-4-9,mostly sunny,17°,9°
99,2019-4-10,cloudy,18°,8°
100,2019-4-11,cloudy,14°,9°
101,2019-4-12,mostly sunny,17°,0°
102,2019-4-13,mostly sunny,18°,5°
103,2019-4-14,mostly sunny,15°,4°
104,2019-4-15,mostly sunny,17°,6°
105,2019-4-16,mostly cloudy,18°,10°
106,2019-4-17,mostly sunny,17°,10°
107,2019-4-18,mostly sunny,18°,13°
108,2019-4-19,mostly sunny,21°,14°
